[Mon Jan 13 08:47:53.287832 2025] [php7:warn] [pid 14136:tid 1920] [client ::1:51529] PHP Warning:  opendir(a:/submit/Logs/): failed to open dir: No such file or directory in C:\\Users\\akk1to\\Documents\\nodejs-projects\\JUDGER\\www\\logs.php on line 4, referer: http://localhost/index.php
[Mon Jan 13 08:47:53.287832 2025] [php7:warn] [pid 14136:tid 1920] [client ::1:51529] PHP Warning:  readdir() expects parameter 1 to be resource, boolean given in C:\\Users\\akk1to\\Documents\\nodejs-projects\\JUDGER\\www\\logs.php on line 6, referer: http://localhost/index.php
[Mon Jan 13 08:47:54.305827 2025] [php7:warn] [pid 14136:tid 1920] [client ::1:51529] PHP Warning:  opendir(a:/submit/Logs/,a:/submit/Logs/): The system cannot find the path specified. (code: 3) in C:\\Users\\akk1to\\Documents\\nodejs-projects\\JUDGER\\www\\logs.php on line 4, referer: http://localhost/index.php
[Mon Jan 13 08:47:54.305827 2025] [php7:warn] [pid 14136:tid 1920] [client ::1:51529] PHP Warning:  opendir(a:/submit/Logs/): failed to open dir: No such file or directory in C:\\Users\\akk1to\\Documents\\nodejs-projects\\JUDGER\\www\\logs.php on line 4, referer: http://localhost/index.php
[Mon Jan 13 08:47:54.305827 2025] [php7:warn] [pid 14136:tid 1920] [client ::1:51529] PHP Warning:  readdir() expects parameter 1 to be resource, boolean given in C:\\Users\\akk1to\\Documents\\nodejs-projects\\JUDGER\\www\\logs.php on line 6, referer: http://localhost/index.php
[Mon Jan 13 08:47:55.309752 2025] [php7:warn] [pid 14136:tid 1920] [client ::1:51529] PHP Warning:  opendir(a:/submit/Logs/,a:/submit/Logs/): The system cannot find the path specified. (code: 3) in C:\\Users\\akk1to\\Documents\\nodejs-projects\\JUDGER\\www\\logs.php on line 4, referer: http://localhost/index.php
[Mon Jan 13 08:47:55.309752 2025] [php7:warn] [pid 14136:tid 1920] [client ::1:51529] PHP Warning:  opendir(a:/submit/Logs/): failed to open dir: No such file or directory in C:\\Users\\akk1to\\Documents\\nodejs-projects\\JUDGER\\www\\logs.php on line 4, referer: http://localhost/index.php
[Mon Jan 13 08:47:55.309752 2025] [php7:warn] [pid 14136:tid 1920] [client ::1:51529] PHP Warning:  readdir() expects parameter 1 to be resource, boolean given in C:\\Users\\akk1to\\Documents\\nodejs-projects\\JUDGER\\www\\logs.php on line 6, referer: http://localhost/index.php
[Mon Jan 13 08:47:56.305821 2025] [php7:warn] [pid 14136:tid 1920] [client ::1:51529] PHP Warning:  opendir(a:/submit/Logs/,a:/submit/Logs/): The system cannot find the path specified. (code: 3) in C:\\Users\\akk1to\\Documents\\nodejs-projects\\JUDGER\\www\\logs.php on line 4, referer: http://localhost/index.php
[Mon Jan 13 08:47:56.305821 2025] [php7:warn] [pid 14136:tid 1920] [client ::1:51529] PHP Warning:  opendir(a:/submit/Logs/): failed to open dir: No such file or directory in C:\\Users\\akk1to\\Documents\\nodejs-projects\\JUDGER\\www\\logs.php on line 4, referer: http://localhost/index.php
